Date,Bottom50,Next40,Next9,Top1
1989:Q3,760296,7250940,7609401,4810519
1989:Q4,745094,7392313,7746260,4932121
1990:Q1,750997,7521373,7750253,4931241
1990:Q2,745903,7573404,7827239,5036501
1990:Q3,756305,7600589,7769762,4904293
1990:Q4,734294,7759675,7897555,5060448
1991:Q1,778289,7930643,8059677,5240425
1991:Q2,801962,7955607,8039638,5254197
1991:Q3,843180,8094769,8027860,5365965
1991:Q4,908863,8220030,8202580,5601321
1992:Q1,939192,8293346,8215474,5580708
1992:Q2,942966,8368727,8222143,5586043
1992:Q3,1003785,8505306,8307804,5651981
1992:Q4,991691,8705958,8466191,5904654
1993:Q1,965786,8741316,8543380,6132760
1993:Q2,984544,8847596,8569116,6236434
1993:Q3,992017,8974211,8647218,6400921
1993:Q4,984537,9103205,8754553,6588946
1994:Q1,960700,9091784,8815108,6704541
1994:Q2,950219,9137701,8784739,6858929
1994:Q3,948163,9251890,8840054,7017301
1994:Q4,887637,9307102,8839338,7214799
1995:Q1,920295,9415783,8953558,7483562
1995:Q2,1006412,9546840,9088753,7646055
1995:Q3,1065578,9678301,9256449,7877610
1995:Q4,1064466,9877143,9508244,8102309
1996:Q1,1089833,10082734,9724580,8219963
1996:Q2,1060169,10281836,9851681,8324966
1996:Q3,1043437,10493986,9888800,8371392
1996:Q4,1040807,10677636,10129169,8615977
1997:Q1,1082601,10718062,10380144,8560000
1997:Q2,1122165,11089448,10761634,9024329
1997:Q3,1180877,11341039,11131226,9296646
1997:Q4,1205647,11462624,11414341,9417979
1998:Q1,1306958,11823295,12078925,9959778
1998:Q2,1262092,12095985,12259619,10164972
1998:Q3,1265889,12114849,12029152,9796833
1998:Q4,1293316,12671436,12871086,10385270
1999:Q1,1327224,12820710,13015202,10380213
1999:Q2,1336060,13092351,13380983,10739264
1999:Q3,1340794,13174577,13325128,10639787
1999:Q4,1414917,13869323,14189994,11525093
2000:Q1,1485833,14103551,14647452,12001547
2000:Q2,1456990,14217862,14562081,11797877
2000:Q3,1491817,14480285,14900642,11843003
2000:Q4,1418593,14565788,14772251,11483782
2001:Q1,1366453,14857508,14742152,11222980
2001:Q2,1361611,15208369,15289757,11503383
